,Strike,Last Price,Volume,Symbol,Volume_Ratio,Type,Margin,Option_Expiration_Date,Prob
0,165.0,2.23,1142,AAP,14.04738041002278,call,0.05694702040158052,"September 18, 2020",0.9388054529502408
1,130.0,0.4,415,AAP,10.355086372360844,put,0.16725386271390627,"September 18, 2020",0.06119454704975928
2,500.0,11.19,152301,AAPL,22.339026917562894,call,0.005065508076747892,"August 28, 2020",1.0
3,105.0,0.26,459,ABT,11.732543640897754,call,0.02539060972048924,"August 28, 2020",1.0
4,162.5,0.15,195,ADP,10.026595744680852,call,0.17685398207644842,"August 28, 2020",1.0
5,95.0,1.45,645,ALB,11.95609756097561,call,0.058613798322298315,"September 18, 2020",1.0
6,84.0,2.02,14836,AMD,12.083852963561348,call,0.002267061769968605,"August 28, 2020",0.5518405136736894
7,85.0,1.59,15307,AMD,12.467480271854512,call,0.014198812505325373,"August 28, 2020",0.44815948632631053
8,145.0,2.2,50,AMP,11.214953271028039,put,0.061549380913447575,"September 18, 2020",1.0
9,3290.0,58.0,2469,AMZN,11.350207136175332,call,0.0016074518814292594,"August 28, 2020",0.1610406046630388
10,3300.0,53.99,4200,AMZN,19.30776426566885,call,0.004651851431220838,"August 28, 2020",0.25500513562786375
11,3350.0,35.5,2851,AMZN,13.106294267005213,call,0.01987384918017873,"August 28, 2020",0.11381824358771865
12,3400.0,23.79,4899,AMZN,22.521127889883736,call,0.03509584692913662,"August 28, 2020",0.1310654402186433
13,3500.0,11.25,3917,AMZN,18.006788721101163,call,0.06553984242705241,"August 28, 2020",0.049555561690707066
14,3200.0,26.5,1047,AMZN,10.997899159663865,put,0.025792144066694944,"August 28, 2020",0.03120174366753497
15,3250.0,43.5,1424,AMZN,14.957983193277311,put,0.010570146317737054,"August 28, 2020",0.06966033445934607
16,3290.0,62.68,1384,AMZN,14.53781512605042,put,-0.0016074518814292594,"August 28, 2020",0.09755541639632484
17,3300.0,68.13,1189,AMZN,12.489495798319327,put,-0.004651851431220838,"August 28, 2020",0.09109751968882261
18,222.5,3.35,132,ANET,11.916666666666666,call,-0.00031454069243377436,"August 28, 2020",1.0
19,320.0,0.2,77,APD,10.415458937198068,call,0.11716239796310829,"September 18, 2020",1.0
20,86.0,0.43,1050,ATVI,12.823275862068966,call,0.03352963521481362,"August 28, 2020",1.0
21,332.5,2.7,979,AVGO,17.417791411042945,call,0.007514729619075845,"August 28, 2020",1.0
22,140.0,2.25,500,AWK,16.055045871559635,put,0.025341126462791935,"September 18, 2020",1.0
23,100.0,0.26,808,AXP,13.455166524338173,call,0.04004158515884018,"August 28, 2020",1.0
24,170.0,3.15,6740,BA,12.256688232208427,call,0.014925373134328358,"August 28, 2020",1.0
25,114.0,4.45,1216,BBY,10.350771413371165,call,0.0,"August 28, 2020",0.510403893678432
26,115.0,4.1,1266,BBY,10.776378790565703,call,0.008771929824561403,"August 28, 2020",0.489596106321568
27,285.0,0.2,192,BDX,10.278372591006423,call,0.10585130626293596,"August 28, 2020",0.5026178010471205
28,295.0,0.2,190,BDX,10.171306209850107,call,0.1446531064826881,"August 28, 2020",0.49738219895287955
29,480.0,5.2,37,BIO,10.571428571428571,put,0.07326964246090634,"September 18, 2020",1.0
30,1850.0,5.0,96,BKNG,11.641196013289036,call,0.03969382707173326,"August 28, 2020",1.0
31,39.5,0.13,271,BSX,11.624664879356569,call,0.027842822959335507,"August 28, 2020",1.0
32,51.5,2.43,16375,C,19.591456119360966,put,-0.04462476261633763,"August 28, 2020",1.0
33,28.0,2.2,871,CARR,13.807863031071655,call,-0.05149052961359004,"September 18, 2020",1.0
34,140.0,1.19,1874,CAT,16.646269245953413,call,0.01134152573348671,"August 28, 2020",0.8815929917219459
35,135.0,0.64,468,CAT,11.643203883495145,put,0.024777814471280673,"August 28, 2020",0.11840700827805406
36,40.0,0.37,292,CBRE,10.149732620320856,put,0.10932976762624155,"September 18, 2020",1.0
37,75.0,0.65,329,CERN,13.608272506082725,call,0.0442773645041515,"September 18, 2020",1.0
38,26.5,0.01,580,CF,10.308056872037914,put,0.18134072059244832,"August 28, 2020",1.0
39,180.0,2.26,1029,CI,15.294797687861273,call,0.009534475149440709,"August 28, 2020",1.0
40,227.5,2.2,169,CLX,12.573304157549234,call,0.005169434716916868,"August 28, 2020",1.0
41,1250.0,22.19,155,CMG,13.965736040609137,call,-0.002585291133080642,"August 28, 2020",1.0
42,67.0,0.33,380,COF,11.575630252100838,call,0.050156752370000286,"August 28, 2020",0.22870274115007933
43,63.5,1.27,333,COF,16.082386363636363,put,0.004702182455298235,"August 28, 2020",0.7712972588499206
44,60.0,6.8,1962,CTSH,15.085481682496608,call,-0.08703592687854682,"August 28, 2020",1.0
45,25.0,0.22,600,CTVA,19.047619047619047,put,0.1209564159444417,"September 18, 2020",1.0
46,138.0,6.0,220,CTXS,12.626086956521737,call,-0.0365146679016027,"August 28, 2020",1.0
47,67.5,0.02,1810,CVS,10.786236063052671,call,0.055677220046168936,"August 28, 2020",1.0
48,85.0,1.41,920,CVX,11.645569620253164,put,0.0009403129916892688,"August 28, 2020",1.0
49,56.0,0.58,431,DD,14.534370946822309,call,0.015596674281302448,"August 28, 2020",1.0
50,49.5,1.14,409,DFS,11.721596724667348,call,-0.0014121382944355288,"August 28, 2020",0.6343155660762386
51,49.5,1.05,256,DFS,16.770712909441233,put,0.0014121382944355288,"August 28, 2020",0.3656844339237614
52,73.5,0.46,203,DHI,15.234521575984992,put,0.045082514819679856,"August 28, 2020",1.0
