,Strike,Last Price,Volume,Symbol,Volume_Ratio,Type,Margin,Option_Expiration_Date,Prob
0,500.0,13.88,82041,AAPL,10.595876238729344,call,-0.006813246579828295,"August 28, 2020",0.6434556856966901
1,490.0,6.25,31223,AAPL,10.69730256674708,put,0.026676981648231728,"August 28, 2020",0.11026885821311726
2,500.0,10.2,42729,AAPL,14.639369739440026,put,0.006813246579828295,"August 28, 2020",0.24627545609019263
3,104.0,0.19,437,ABT,8.980952380952381,call,0.025742189822106208,"August 28, 2020",0.4824240311428737
4,99.0,0.34,262,ABT,9.855045871559632,put,0.023572338534725824,"August 28, 2020",0.5175759688571263
5,3300.0,56.93,9877,AMZN,19.135707599006878,call,-0.002255495463469034,"August 28, 2020",0.2984206760266995
6,3350.0,37.44,8070,AMZN,15.63482437217632,call,0.012861845514357192,"August 28, 2020",0.16035113823664982
7,3400.0,24.75,20603,AMZN,39.91626846839513,call,0.02797918649218342,"August 28, 2020",0.270625264452765
8,3500.0,10.85,17069,AMZN,33.06949407790305,call,0.058213868447835874,"August 28, 2020",0.0982879979380174
9,3600.0,5.8,5197,AMZN,10.06867190361838,call,0.08844855040348833,"August 28, 2020",0.01599717820106401
10,3200.0,16.35,4374,AMZN,22.81811600374755,put,0.03249017741912149,"August 28, 2020",0.037954144610328
11,3250.0,30.0,2715,AMZN,14.16350821906141,put,0.01737283644129526,"August 28, 2020",0.0432268671075708
12,3300.0,51.0,2776,AMZN,14.48173068733498,put,0.002255495463469034,"August 28, 2020",0.07513673342690538
13,6.0,0.06,3790,AMC,6.337792642140468,call,0.10905733257462458,"August 28, 2020",0.7056633048875097
14,5.0,0.07,1355,AMC,6.507203546361286,put,0.07578555618781285,"August 28, 2020",0.29433669511249033
15,84.0,1.26,13792,AMD,10.12256880733945,call,0.011073641654656585,"August 28, 2020",0.3177072030722929
16,85.0,0.91,18850,AMD,13.8348623853211,call,0.02311023262673583,"August 28, 2020",0.31360430407670054
17,86.0,0.63,14666,AMD,10.764036697247706,call,0.035146823598815075,"August 28, 2020",0.16892016532258727
18,90.0,0.15,14637,AMD,10.742752293577981,call,0.08329318748713206,"August 28, 2020",0.04013955926286762
19,83.0,1.64,5324,AMD,11.177902437424137,put,0.0009629493174226606,"August 28, 2020",0.1596287682655516
20,83.0,1.33,8691,ATVI,29.663990898173317,call,-0.001203351094551887,"August 28, 2020",0.9989154462916906
21,60.0,0.01,1255,ATVI,10.330308146897424,put,0.27797832609244716,"August 28, 2020",0.0010845537083094962
22,345.0,0.5,1103,AVGO,8.122651091924835,call,0.03293413173652695,"August 28, 2020",0.6979422410083778
23,327.5,2.21,108,AVGO,5.782677165354331,put,0.019461077844311378,"August 28, 2020",0.3020577589916221
24,180.0,3.75,49803,BA,14.341591624569881,call,0.009704356796306598,"August 28, 2020",0.9551722594792259
25,170.0,1.25,7012,BA,10.50500696506952,put,0.0463903296923771,"August 28, 2020",0.04482774052077407
26,280.0,4.49,32531,BABA,16.927764081653546,call,0.014419285358825902,"August 28, 2020",0.9571346258452094
27,265.0,1.78,3675,BABA,7.925282252949385,put,0.03992460492825406,"August 28, 2020",0.04286537415479069
28,50.0,2.0,6690,BILI,5.089774802191114,call,0.08412838590576854,"September 18, 2020",0.7570035558799317
29,45.0,2.85,1507,BILI,6.944700460829493,put,0.024284452684808316,"September 18, 2020",0.2429964441200682
30,22.0,0.26,1469,BP,7.326683291770574,call,0.004107720365800046,"August 28, 2020",0.9449750111336533
31,20.0,0.04,556,BP,7.211413748378729,put,0.0871747996674545,"August 28, 2020",0.05502498886634668
32,30.0,3.6,5418,CAR,10.688307030129124,call,-0.11634758981364614,"September 18, 2020",0.8113207547169812
33,36.0,4.5,1008,CAR,5.707198705850634,put,-0.060382892223624626,"September 18, 2020",0.18867924528301888
34,16.0,0.7,21663,CCL,9.541615008156606,call,-0.008674064122841765,"August 28, 2020",0.9557974937899415
35,15.0,0.19,3691,CCL,6.309401709401709,put,0.07063193511516415,"August 28, 2020",0.0442025062100585
36,350.0,0.88,1409,COST,14.6569942513003,call,0.017057492906456747,"August 28, 2020",0.9565807745718253
37,315.0,0.06,938,COST,7.575481466142058,put,0.08464825638418892,"August 28, 2020",0.04341922542817466
38,50.0,0.01,6272,CSCO,11.634613456332097,call,0.18539591366159022,"August 28, 2020",0.09979792193740353
39,42.0,0.31,1825,CSCO,12.169283716928371,put,0.004267432524264206,"August 28, 2020",0.9002020780625964
40,62.5,2.7,848,DELL,4.113842173350582,call,0.015269632971724083,"September 18, 2020",0.711637144624336
41,62.5,3.61,257,DELL,4.7660485021398005,put,-0.015269632971724083,"September 18, 2020",0.2883628553756639
42,130.0,1.85,5887,DIS,9.834127327847552,call,-0.005279688029048792,"August 28, 2020",0.8115788563772313
43,125.0,0.13,4613,DIS,14.211661341853034,put,0.04353816156639307,"August 28, 2020",0.044688087300085104
44,128.0,0.51,3782,DIS,11.651528982199908,put,0.020583077443986502,"August 28, 2020",0.1437330563226836
45,220.0,0.82,1699,DOCU,12.027931522718497,call,0.0758472007931675,"August 28, 2020",0.3986459805767459
46,200.0,2.84,740,DOCU,6.791586998087954,put,0.021957090188029556,"August 28, 2020",0.6013540194232542
47,75.0,1.95,39,ENS,8.450000000000001,call,0.026694002283074024,"September 18, 2020",0.9934683213585892
48,40.0,0.05,10,ENS,1.896551724137931,put,0.4524298654490272,"September 18, 2020",0.006531678641410843
49,45.0,0.4,331,EOG,12.652281134401973,call,0.015113876410353671,"August 28, 2020",0.8167797655768043
50,44.0,0.55,54,EOG,9.321428571428571,put,0.007444209732098633,"August 28, 2020",0.18322023442319554
51,275.0,3.25,49431,FB,15.07624416814796,call,0.013301835575044744,"August 28, 2020",0.6367914880500976
52,280.0,1.82,42377,FB,12.924804254690502,call,0.03172550531277283,"August 28, 2020",0.3057145357750285
53,265.0,2.43,5969,FB,9.923790625335192,put,0.02354550390041143,"August 28, 2020",0.05749397617487381
54,28.0,1.42,2696,FL,8.996662958843158,call,-0.04010970425895844,"August 28, 2020",0.9765698936525712
55,27.0,0.11,835,FL,6.6902927580893685,put,0.0743915005354242,"August 28, 2020",0.02343010634742881
56,6.5,0.19,28296,GE,15.688365025257712,call,-0.019607860059875786,"August 28, 2020",0.9327240363496311
57,6.5,0.06,6463,GE,6.929902157887683,put,0.019607860059875786,"August 28, 2020",0.06727596365036902
58,66.0,0.75,1480,GILD,9.446808510638299,call,-0.0012106814291444248,"August 28, 2020",0.1703172350301124
59,68.0,2.15,2515,GILD,19.82368803152873,put,-0.0290556615578512,"August 28, 2020",0.8296827649698876
60,5.0,0.16,3857,GME,7.231875,call,0.02669406930098804,"August 28, 2020",0.7659616721278919
61,4.5,0.08,2357,GME,9.192070198245043,put,0.07597533762911077,"August 28, 2020",0.23403832787210802
62,1600.0,15.7,390,GOOG,9.706091490874615,call,0.007429825708921709,"August 28, 2020",0.6708600441104449
63,1580.0,18.43,163,GOOG,5.561499578770008,put,0.005163047112439812,"August 28, 2020",0.3291399558895552
64,1.5,0.04,2086,HTZ,5.54998099581908,call,0.027397233430072485,"August 28, 2020",0.8987505385609651
65,1.0,0.01,940,HTZ,3.6313465783664465,put,0.3150685110466183,"August 28, 2020",0.1012494614390349
66,14.5,0.2,2229,INO,7.002525563631884,call,0.1846405450279986,"August 28, 2020",0.12987315663436833
67,12.5,0.86,3473,INO,9.01330756488128,put,-0.02124184916206776,"August 28, 2020",0.8701268433656316
68,49.5,0.38,6394,INTC,10.830489335006275,call,0.007326019837668094,"August 28, 2020",0.39908872452641764
69,50.0,0.22,8622,INTC,14.60439146800502,call,0.017501030139058682,"August 28, 2020",0.31156160225486473
70,48.5,0.27,2338,INTC,10.120318021201413,put,0.01302400076511308,"August 28, 2020",0.10368632938961954
71,49.0,0.47,2405,INTC,10.410335689045937,put,0.0028489904637224923,"August 28, 2020",0.18566334382909805
72,80.0,0.42,7872,JD,10.56128796194658,call,0.05014439064743194,"August 28, 2020",0.9166278528178855
73,72.0,0.24,1253,JD,6.948243992606284,put,0.05487004841731125,"August 28, 2020",0.08337214718211458
74,15.0,1.33,2061,JWN,4.4023410799726586,call,-0.036608844315757956,"August 28, 2020",0.679990474135044
75,15.5,1.0,1290,JWN,5.180722891566265,put,0.004495805792949891,"August 28, 2020",0.32000952586495596
76,35.0,1.55,26,KC,3.823529411764706,call,0.04759054653845052,"September 18, 2020",0.834368530020704
77,30.0,1.0,8,KC,2.5263157894736845,put,0.10206524582418527,"September 18, 2020",0.16563146997929606
78,405.0,0.51,664,LMT,12.626398210290828,call,0.02521261451913301,"August 28, 2020",0.9517974085837152
79,380.0,0.35,49,LMT,5.5681818181818175,put,0.0380721147721715,"August 28, 2020",0.04820259141628489
80,7.0,0.08,8316,M,9.530369744857953,call,0.05900149146869088,"August 28, 2020",0.6576707494291053
81,6.5,0.17,2037,M,10.043213457076567,put,0.016641472207644184,"August 28, 2020",0.3423292505708948
82,87.0,0.25,2353,MRK,14.804561541486434,call,0.018496860980138745,"August 28, 2020",0.7878524074198086
83,85.0,0.66,240,MRK,11.398416886543535,put,0.004916859961933411,"August 28, 2020",0.21214759258019153
84,70.0,0.57,3149,MRNA,14.393806734050088,call,0.07891496552602431,"August 28, 2020",0.3775692009314438
85,60.0,0.46,1724,MRNA,10.860911507038095,put,0.0752157438348363,"August 28, 2020",0.16681847153185486
86,63.0,1.26,1719,MRNA,10.829412343734619,put,0.028976531026578118,"August 28, 2020",0.4556123275367014
87,215.0,1.8,30985,MSFT,11.157221947157582,call,0.006130364282966167,"August 28, 2020",0.6175078471426436
88,220.0,0.54,51349,MSFT,18.48998514650943,call,0.02952874484768631,"August 28, 2020",0.3070041353196154
89,210.0,1.07,6372,MSFT,8.415668617739756,put,0.017268016281753975,"August 28, 2020",0.07548801753774102
90,500.0,4.0,7332,NFLX,13.025193798449614,call,0.022892335462236332,"August 28, 2020",0.6062664483986178
91,510.0,2.05,7414,NFLX,13.170865633074936,call,0.04335018217148106,"August 28, 2020",0.31418650672654364
92,465.0,1.29,2983,NFLX,9.409644888400326,put,0.04871012802012021,"August 28, 2020",0.07954704487483868
93,15.0,0.6,108608,NIO,22.04511201887702,call,0.0020039901426899334,"August 28, 2020",0.954107388911998
94,14.5,0.39,8037,NIO,10.314812496087148,put,0.0313961428620664,"August 28, 2020",0.04589261108800202
95,112.0,1.14,2043,NKE,9.610887096774192,call,0.001520148137010088,"August 28, 2020",0.884395434143674
96,109.0,0.43,708,NKE,11.30373831775701,put,0.02530628440237411,"August 28, 2020",0.11560456585632589
97,40.0,1.0,3787,NKLA,18.38223832638272,call,0.033858914959657774,"August 28, 2020",0.5843657848972229
98,40.0,2.39,1127,NKLA,9.691981589147288,put,-0.033858914959657774,"August 28, 2020",0.4156342151027771
