,Strike,Last Price,Volume,Symbol,Volume_Ratio,Type,Margin,Option_Expiration_Date,Current Price,Percentage,Prob
0,500.0,10.75,51721,AAPL,12.571312828510953,call,0.009207855709121993,"August 28, 2020",506.0899963378906,0.013599031319628706,0.3137128674632066
1,505.0,7.95,49866,AAPL,12.120436292927964,call,0.01355490863630773,"August 28, 2020",506.0899963378906,0.013599031319628706,0.223680753126531
2,510.0,5.89,65909,AAPL,16.01984991037158,call,0.01936415209354661,"August 28, 2020",506.0899963378906,0.013599031319628706,0.21903674255442157
3,520.0,3.15,43684,AAPL,10.617838587820662,call,0.03370942675325922,"August 28, 2020",506.0899963378906,0.013599031319628706,0.07764078311428098
4,490.0,1.91,16314,AAPL,11.196108674119145,put,0.028018724812776896,"August 28, 2020",506.0899963378906,0.013599031319628706,0.017581291724530906
5,500.0,4.6,26258,AAPL,18.020560350926843,put,0.002944133155510607,"August 28, 2020",506.0899963378906,0.013599031319628706,0.06815165875172802
6,505.0,6.9,20599,AAPL,14.136854393660677,put,-0.011480178830150855,"August 28, 2020",506.0899963378906,0.013599031319628706,0.0801959032653008
7,103.0,0.84,267,ABT,9.687610619469027,call,0.006299036178071975,"August 28, 2020",103.19000244140625,0.007026470590477712,0.8409448818897638
8,100.0,0.14,303,ABT,16.11284046692607,put,0.029557150588673687,"August 28, 2020",103.19000244140625,0.007026470590477712,0.15905511811023623
9,3400.0,63.07,19533,AMZN,31.457511740266067,call,0.006165260467967502,"August 28, 2020",3441.85009765625,0.028495557332085326,0.5387404524045339
10,3450.0,35.18,14290,AMZN,23.013763516531107,call,0.012589131169092929,"August 28, 2020",3441.85009765625,0.028495557332085326,0.21984463386379444
11,3500.0,18.4,23138,AMZN,37.263293229216,call,0.02224091699864478,"August 28, 2020",3441.85009765625,0.028495557332085326,0.1861793223881196
12,3300.0,4.75,4338,AMZN,17.857550910679482,put,0.039833256465645964,"August 28, 2020",3441.85009765625,0.028495557332085326,0.009010957946715734
13,3350.0,9.79,2795,AMZN,11.505729551717184,put,0.02384185694552164,"August 28, 2020",3441.85009765625,0.028495557332085326,0.0119660912301997
14,3400.0,21.95,3569,AMZN,14.691931581423482,put,0.005781802545613796,"August 28, 2020",3441.85009765625,0.028495557332085326,0.0342585421666368
15,6.0,0.03,1509,AMC,6.272798129384256,call,0.07678573262326607,"August 28, 2020",5.599999904632568,0.010830307695409444,0.3627694526805032
16,5.5,0.14,568,AMC,6.042553191489362,put,-0.007142874294398077,"August 28, 2020",5.599999904632568,0.010830307695409444,0.6372305473194968
17,86.0,1.34,24731,AMD,12.847813877734408,call,0.015345308166086697,"August 28, 2020",86.0199966430664,-0.003821694926851049,0.8454529358850004
18,85.0,0.86,7044,AMD,11.96591904445919,put,0.0018599935981199868,"August 28, 2020",86.0199966430664,-0.003821694926851049,0.15454706411499952
19,85.0,0.68,3417,ATVI,19.439317319848293,call,0.014204505153679362,"August 28, 2020",84.4800033569336,0.010284661049193842,0.9946278214638865
20,60.0,0.01,1255,ATVI,16.158798283261802,put,0.28965438428720475,"August 28, 2020",84.4800033569336,0.010284661049193842,0.005372178536113454
21,340.0,2.85,540,AVGO,6.391836734693878,call,0.00936198794876015,"August 28, 2020",339.6700134277344,0.010501616670834739,0.948273206198589
22,335.0,1.15,73,AVGO,5.13871635610766,put,0.010363038503789697,"August 28, 2020",339.6700134277344,0.010501616670834739,0.051726793801411
23,175.0,1.37,17460,BA,14.67394091336429,call,0.026003526830881685,"August 28, 2020",171.89999389648438,-0.016196452260720053,0.43223116512429616
24,180.0,0.53,15188,BA,12.764479644454573,call,0.05020364403684905,"August 28, 2020",171.89999389648438,-0.016196452260720053,0.1454546900122549
25,170.0,1.61,7098,BA,18.04656764351666,put,0.0016869918951771745,"August 28, 2020",171.89999389648438,-0.016196452260720053,0.20649671257699054
26,172.5,2.96,4035,BA,10.25893215576074,put,-0.020709751192076294,"August 28, 2020",171.89999389648438,-0.016196452260720053,0.21581743228645844
27,300.0,1.75,52943,BABA,22.09731782415327,call,0.03353202093249203,"August 28, 2020",291.9599914550781,0.020839130961811624,0.9629888974383732
28,282.5,1.11,3208,BABA,8.977119341563785,put,0.02859977976250517,"August 28, 2020",291.9599914550781,0.020839130961811624,0.03701110256162671
29,55.0,1.92,14990,BILI,4.147873488475055,call,0.1683086735189235,"September 18, 2020",48.720001220703125,0.03659577065325798,0.8503426685244868
30,45.0,2.04,2483,BILI,4.593044765075842,put,0.03448278281218974,"September 18, 2020",48.720001220703125,0.03659577065325798,0.1496573314755133
31,24.0,0.01,883,BP,7.2645002056766765,call,0.12301220497985738,"August 28, 2020",21.3799991607666,-0.011100871379898215,0.13292187264790006
32,21.5,0.3,192,BP,5.333333333333333,put,-0.019644567620195307,"August 28, 2020",21.3799991607666,-0.011100871379898215,0.8670781273521
33,36.0,1.08,316,CAR,6.945054945054945,call,0.11384797177055342,"September 18, 2020",33.290000915527344,-0.01770431054802764,0.8711011281841851
34,24.0,0.1,505,CAR,4.520460358056266,put,0.27605889644902,"September 18, 2020",33.290000915527344,-0.01770431054802764,0.128898871815815
35,15.0,0.5,4392,CCL,8.248747913188648,call,0.01439792348648357,"August 28, 2020",15.279999732971191,-0.03838894065631272,0.6195251999492193
36,15.5,0.45,2997,CCL,8.23028638681836,put,-0.04384818578125244,"August 28, 2020",15.279999732971191,-0.03838894065631272,0.38047480005078077
37,345.0,1.66,874,COST,12.287088420273768,call,0.006942257712255123,"August 28, 2020",344.2699890136719,-0.0012764671356447581,0.8899548532731376
38,340.0,0.65,276,COST,6.9400386847195366,put,0.010514971183062128,"August 28, 2020",344.2699890136719,-0.0012764671356447581,0.1100451467268623
39,42.0,0.43,2812,CSCO,9.834026465028355,call,0.004260355029585792,"August 28, 2020",42.25,0.006911344137273573,0.9079141012163988
40,42.0,0.21,584,CSCO,6.24060668734919,put,0.0009467455621301777,"August 28, 2020",42.25,0.006911344137273573,0.09208589878360113
41,70.0,0.92,5416,DELL,4.688365650969529,call,0.14147752745486022,"September 18, 2020",62.130001068115234,0.024571257719578393,0.6299935770676026
42,57.5,1.32,2217,DELL,6.737026647966339,put,0.05327540658636666,"September 18, 2020",62.130001068115234,0.024571257719578393,0.3700064229323974
43,133.0,0.77,20200,DIS,20.078783639509627,call,0.012029107371180013,"August 28, 2020",132.17999267578125,0.0184143052298425,0.9234653044455051
44,131.0,0.67,1924,DIS,10.110548851693265,put,0.003858319746107034,"August 28, 2020",132.17999267578125,0.0184143052298425,0.07653469555449478
45,220.0,1.92,3452,DOCU,11.725543478260871,call,0.03502633370467957,"August 28, 2020",214.41000366210938,0.045443481701250045,0.8102157123053565
46,210.0,2.25,690,DOCU,7.220405493786789,put,0.010074173896817537,"August 28, 2020",214.41000366210938,0.045443481701250045,0.1897842876946435
47,75.0,1.95,36,ENS,8.210526315789473,call,0.0489367415455265,"September 18, 2020",73.36000061035156,0.0005455620615325876,0.5
48,70.0,1.95,36,ENS,4.0,put,0.019220291693299175,"September 18, 2020",73.36000061035156,0.0005455620615325876,0.5
49,44.5,0.22,395,EOG,17.51788268955651,call,0.033749462207909094,"August 28, 2020",43.2599983215332,-0.02523663088027939,0.7629499561018437
50,43.0,0.5,54,EOG,10.510067114093959,put,-0.005547889222809633,"August 28, 2020",43.2599983215332,-0.02523663088027939,0.23705004389815626
51,300.0,7.5,138263,FB,18.150407771451075,call,0.011812695517196676,"August 28, 2020",303.9100036621094,0.08222350139630148,0.9745799317524081
52,290.0,1.07,25278,FB,12.93355119825708,put,0.04224936167742947,"August 28, 2020",303.9100036621094,0.08222350139630148,0.0254200682475919
53,29.5,0.36,507,FL,14.709864603481623,call,0.02470832619877582,"August 28, 2020",29.139999389648438,-0.01753205024786118,0.38902743142144636
54,29.5,0.65,441,FL,6.677926616191032,put,-0.03466028248134935,"August 28, 2020",29.139999389648438,-0.01753205024786118,0.6109725685785536
